n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
7,1,3,6.0,9,0.045775560515487035,0.032956023540895135,0.03933935319573452,1.2222222222222223,0.04404484563403659,2.499000072479248,2.477017402648926,0.9912034136883744,True
7,1,4,8.0,8,0.03685459795185882,0.02924841402479123,0.04269057272592264,0.125,0.03727570176124573,2.2760000228881836,2.2485151290893555,0.9879240362379476,True
7,1,5,10.0,8,0.06297795447587003,0.042213567997365226,0.031729818860848275,0.375,0.04076744616031647,1.9759999513626099,1.904573678970337,0.9638531001263341,True
7,2,1,0.0,7,0.06631459959493062,0.045573197986034146,0.03060129218311176,1.2857142857142858,0.06673567635672432,2.8450000286102295,2.8217585682868958,0.9918307697400316,True
7,2,2,4.0,8,0.036051650980914535,0.029159719364432,0.03254979625061889,0.1875,0.03658834844827652,2.609999895095825,2.538989782333374,0.9727930591507383,True
7,2,3,6.0,9,0.045775560515487035,0.032956023540895135,0.03933935319573452,1.2222222222222223,0.04404484563403659,2.499000072479248,2.477017402648926,0.9912034136883744,True
7,2,4,8.0,8,0.03685459795185882,0.02924841402479123,0.04269057272592264,0.125,0.03727570176124573,2.2760000228881836,2.2485151290893555,0.9879240362379476,True
7,2,5,10.0,8,0.06297795447587003,0.042213567997365226,0.031729818860848275,0.375,0.04076744616031647,1.9759999513626099,1.904573678970337,0.9638531001263341,True
8,0,1,0.0,7,0.059806210434051175,0.04583032627734276,0.02955536418608439,1.3571428571428572,0.058124814714704244,2.8450000286102295,2.770809605717659,0.9739225229713575,True
8,0,2,4.0,8,0.03617888784752678,0.03138772995766021,0.03495873448511504,0.1875,0.03561197221279144,2.609999895095825,2.5414946526288986,0.9737527796090538,True
8,0,3,6.0,9,0.04581553367475294,0.034841407028687585,0.041986587513156357,1.2222222222222223,0.04378002219729953,2.499000072479248,2.4785754680633545,0.9918268892262855,True
8,0,4,8.0,8,0.039510094433180265,0.03194712398028497,0.04541249385152847,0.125,0.04032064229249954,2.2760000228881836,2.2442970275878906,0.9860707403420573,True
8,0,5,10.0,8,0.0678459881467708,0.04360465252213787,0.03079581956715577,0.375,0.04299577698111534,1.9759999513626099,1.9043383598327637,0.9637340114910278,True
8,1,1,0.0,7,0.059806210434051175,0.04583032627734276,0.02955536418608439,1.3571428571428572,0.058124814714704244,2.8450000286102295,2.770809605717659,0.9739225229713575,True
8,1,2,4.0,8,0.03617888784752678,0.03138772995766021,0.03495873448511504,0.1875,0.03561197221279144,2.609999895095825,2.5414946526288986,0.9737527796090538,True
8,1,3,6.0,9,0.04581553367475294,0.034841407028687585,0.041986587513156357,1.2222222222222223,0.04378002219729953,2.499000072479248,2.4785754680633545,0.9918268892262855,True
8,1,4,8.0,8,0.039510094433180265,0.03194712398028497,0.04541249385152847,0.125,0.04032064229249954,2.2760000228881836,2.2442970275878906,0.9860707403420573,True
8,1,5,10.0,8,0.0678459881467708,0.04360465252213787,0.03079581956715577,0.375,0.04299577698111534,1.9759999513626099,1.9043383598327637,0.9637340114910278,True
8,2,1,0.0,7,0.059806210434051175,0.04583032627734276,0.02955536418608439,1.3571428571428572,0.058124814714704244,2.8450000286102295,2.770809605717659,0.9739225229713575,True
8,2,2,4.0,8,0.03617888784752678,0.03138772995766021,0.03495873448511504,0.1875,0.03561197221279144,2.609999895095825,2.5414946526288986,0.9737527796090538,True
8,2,3,6.0,9,0.04581553367475294,0.034841407028687585,0.041986587513156357,1.2222222222222223,0.04378002219729953,2.499000072479248,2.4785754680633545,0.9918268892262855,True
8,2,4,8.0,8,0.039510094433180265,0.03194712398028497,0.04541249385152847,0.125,0.04032064229249954,2.2760000228881836,2.2442970275878906,0.9860707403420573,True
8,2,5,10.0,8,0.0678459881467708,0.04360465252213787,0.03079581956715577,0.375,0.04299577698111534,1.9759999513626099,1.9043383598327637,0.9637340114910278,True
