analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius,anchor_channel,anchor_energy_v,anchor_weight,matched_channel,energy_delta_v,matching_method
noise_perturbation,replicate_005,4,0,4,13.923083305358887,0.15103387832641602,0.08280581682920456,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,5.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.04163551330566406,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,1,1,11.505568504333496,0.32724228501319885,0.0828972190618515,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,5.0,nan,1,11.500251770019531,0.3593961000442505,1,0.005316734313964844,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,1,2,11.735733032226562,0.43776440620422363,0.0828972190618515,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,5.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.0035228729248046875,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,1,3,12.534205436706543,0.08446146547794342,0.0828972190618515,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,5.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.0594940185546875,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,1,4,13.917034149169922,0.1505318284034729,0.0828972190618515,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,5.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.047684669494628906,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,2,1,11.505796432495117,0.32538679242134094,0.08289159536361694,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,5.0,nan,1,11.500251770019531,0.3593961000442505,1,0.0055446624755859375,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,2,2,11.735267639160156,0.4404419958591461,0.08289159536361694,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,5.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.0039882659912109375,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,2,3,12.536901473999023,0.08386296778917313,0.08289159536361694,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,5.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.05679798126220703,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,2,4,13.925575256347656,0.15030823647975922,0.08289159536361694,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,5.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.03914356231689453,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,0,1,11.565336227416992,0.37632495164871216,0.08340165764093399,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,6.0,nan,1,11.500251770019531,0.3593961000442505,1,0.06508445739746094,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,0,2,11.802345275878906,0.37775370478630066,0.08340165764093399,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,6.0,nan,2,11.739255905151367,0.3961048126220703,2,0.06308937072753906,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,0,3,12.728827476501465,0.08849504590034485,0.08340165764093399,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,6.0,nan,3,12.59369945526123,0.08622404932975769,3,0.13512802124023438,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,0,4,14.021173477172852,0.15742632746696472,0.08340165764093399,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,6.0,nan,4,13.96471881866455,0.15827499330043793,4,0.05645465850830078,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,1,1,11.559356689453125,0.36425355076789856,0.08332874029874801,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,6.0,nan,1,11.500251770019531,0.3593961000442505,1,0.05910491943359375,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,1,2,11.789548873901367,0.38894832134246826,0.08332874029874801,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,6.0,nan,2,11.739255905151367,0.3961048126220703,2,0.05029296875,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,1,3,12.720257759094238,0.08994589745998383,0.08332874029874801,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,6.0,nan,3,12.59369945526123,0.08622404932975769,3,0.1265583038330078,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,1,4,14.024221420288086,0.15685223042964935,0.08332874029874801,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,6.0,nan,4,13.96471881866455,0.15827499330043793,4,0.059502601623535156,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,2,1,11.564495086669922,0.3784455358982086,0.08340584337711335,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,6.0,nan,1,11.500251770019531,0.3593961000442505,1,0.06424331665039062,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,2,2,11.803544998168945,0.37551307678222656,0.08340584337711335,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,6.0,nan,2,11.739255905151367,0.3961048126220703,2,0.06428909301757812,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,2,3,12.719232559204102,0.0880802571773529,0.08340584337711335,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,6.0,nan,3,12.59369945526123,0.08622404932975769,3,0.1255331039428711,minimum_total_absolute_energy_delta
noise_perturbation,replicate_006,4,2,4,14.02054214477539,0.1579611748456955,0.08340584337711335,output/sensitivity/uncertainty/noise_perturbation/replicate_006/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,6.0,nan,4,13.96471881866455,0.15827499330043793,4,0.055823326110839844,minimum_total_absolute_energy_delta
